jugador_entra,jugador_sale,Minuto,equipo
"CAMPS SEOANE, VICTOR","LOPEZ GONZALEZ, ALEJANDRO",46,PENYA CIUTADELLA ESPORTIVA A
"PALLICER AGUILO, XAVIER","RUS FERNANDEZ, IGNASI",57,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL VALVERDE, IAN","TALTAVULL JUANEDA, JOAN",64,PENYA CIUTADELLA ESPORTIVA A
"ARGUIMBAU ALLES, MACIA","CAPO MORA, MARC",64,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","AGUILAR BOSCH, DAVID",83,PENYA CIUTADELLA ESPORTIVA A
"HOLLINGSWORTH, HARRY RICHARD","ALCOLEA ESCORCIA, CARLOS",26,PLATGES DE CALVIA A
"PEREZ SILVENTE, ALEJANDRO","CASAUS SANCHEZ, JOSE IGNACIO",46,PLATGES DE CALVIA A
"PUJOL ALOMAR, TELM","SANCHIS MARTINEZ, DAVID",62,PLATGES DE CALVIA A
"GAYUBAS GONZALEZ, LUIS MIGUEL","PARRA VIZUETE, DANIEL",82,PLATGES DE CALVIA A
"CARDONA MARTIN, MARCOS","MATAS OLIVER, PABLO",82,PLATGES DE CALVIA A
